"Account"	"Businees Unit"	"Currency"	"Year"	"Scenario"	"Jan"	"Feb"	"Mar"	"Apr"	"May"	"Jun"	"Jul"	"Aug"	"Sep"	"Oct"	"Nov"	"Dec"
"Marketing Expense"	"Advertising"	"USD"	"2012"	"Actuals"	"-477650"	"-500810"	"-350137"	"-390161"	"-444748"	"-502205"	"-401191"	"-701616"	"-517674"	"-616922"	"-308776"	"-393674"
"Sales"	"Hardware"	"USD"	"2012"	"Actuals"	"32732641"	"30564270"	"26200879"	"19589169"	"29460681"	"36626119"	"23976969"	"34401806"	"29555277"	"31473223"	"17015251"	"31427367"
"Cost of Goods Sold"	"Hardware"	"USD"	"2012"	"Actuals"	"-15174996"	"-13026257"	"-11675693"	"-8655251"	"-12015866"	"-15700152"	"-9675687"	"-16111034"	"-12007211"	"-15679125"	"-7771569"	"-15258373"
"Commissions Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-1365874"	"-1359525"	"-1296743"	"-900105"	"-1331847"	"-1564129"	"-1063724"	"-1612959"	"-1338743"	"-1378721"	"-751229"	"-1417137"
"Payroll Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-3625840"	"-3423587"	"-2865530"	"-2430054"	"-3605303"	"-4252053"	"-2644538"	"-4099242"	"-3376769"	"-3479104"	"-2018487"	"-3638336"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-404102"	"-338689"	"-289410"	"-231627"	"-322868"	"-401363"	"-253582"	"-412988"	"-347606"	"-391065"	"-171970"	"-374266"
"R&D Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-1468035"	"-1483124"	"-1094520"	"-937432"	"-1284439"	"-1598284"	"-1152053"	"-1525329"	"-1197635"	"-1277358"	"-816086"	"-1391966"
"Consulting Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-1854144"	"-1664382"	"-1580339"	"-1211392"	"-1625464"	"-2017618"	"-1472986"	"-2012637"	"-1767868"	"-1608184"	"-917113"	"-1651075"
"Software/Hardware Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-2454740"	"-2246414"	"-1920131"	"-1538618"	"-2459096"	"-2690767"	"-1781975"	"-2592510"	"-2077955"	"-2418669"	"-1334326"	"-2275474"
"Marketing Expense"	"Hardware"	"USD"	"2012"	"Actuals"	"-713163"	"-741500"	"-638160"	"-461044"	"-641726"	"-906407"	"-538307"	"-792272"	"-631951"	"-774552"	"-424464"	"-689907"
"Sales"	"Software"	"USD"	"2013"	"Actuals"	"62935397"	"53925189"	"89800765"	"73182364"	"88898687"	"56531656"	"81928853"	"83883692"	"90835513"	"84696571"	"85024906"	"53288399"
"Cost of Goods Sold"	"Software"	"USD"	"2013"	"Actuals"	"-26494815"	"-22903069"	"-40456195"	"-34006729"	"-42423953"	"-27409059"	"-33775125"	"-36687036"	"-41042906"	"-39247829"	"-36978094"	"-21932570"
"Commissions Expense"	"Software"	"USD"	"2013"	"Actuals"	"-2701354"	"-2292513"	"-4003886"	"-3480213"	"-3751958"	"-2276949"	"-3831128"	"-4053567"	"-3723927"	"-3646419"	"-3875350"	"-2193320"
"Payroll Expense"	"Software"	"USD"	"2013"	"Actuals"	"-6903529"	"-6040881"	"-8999879"	"-8859167"	"-10315340"	"-7009597"	"-9729627"	"-9388096"	"-9421268"	"-9764483"	"-10104336"	"-6025217"
"Travel & Entertainment Expense"	"Software"	"USD"	"2013"	"Actuals"	"-742125"	"-668336"	"-1090282"	"-779994"	"-1061114"	"-574730"	"-914148"	"-937664"	"-1118700"	"-991515"	"-891952"	"-622578"
"R&D Expense"	"Software"	"USD"	"2013"	"Actuals"	"-3004974"	"-2247412"	"-4038201"	"-3194257"	"-3781884"	"-2691195"	"-3732122"	"-3946945"	"-3769268"	"-3631690"	"-3939592"	"-2301656"
"Consulting Expense"	"Software"	"USD"	"2013"	"Actuals"	"-3635465"	"-3045416"	"-4995746"	"-4388934"	"-4835074"	"-3428760"	"-5056752"	"-4859658"	"-5233669"	"-5103815"	"-4679973"	"-2916323"
"Software/Hardware Expense"	"Software"	"USD"	"2013"	"Actuals"	"-4463301"	"-4126173"	"-7142092"	"-5237047"	"-7122613"	"-4230019"	"-6296385"	"-6393165"	"-7603663"	"-6983409"	"-6504510"	"-4278920"
"Marketing Expense"	"Software"	"USD"	"2013"	"Actuals"	"-1338399"	"-1226506"	"-1878316"	"-1692980"	"-1813241"	"-1153027"	"-1971506"	"-1867620"	"-2234011"	"-1784085"	"-1901804"	"-1094887"
"Sales"	"Advertising"	"USD"	"2013"	"Actuals"	"15104495"	"15638305"	"26940230"	"18295591"	"24002645"	"11871648"	"23759367"	"23487434"	"20892168"	"25408971"	"17004981"	"10657680"
"Cost of Goods Sold"	"Advertising"	"USD"	"2013"	"Actuals"	"-6922154"	"-6719996"	"-11251219"	"-8188535"	"-10753091"	"-5620387"	"-11674472"	"-9402231"	"-9847130"	"-10592169"	"-8170720"	"-4761146"
"Commissions Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-744189"	"-684446"	"-1135391"	"-740206"	"-1056537"	"-587577"	"-1154625"	"-1015469"	"-919043"	"-1130498"	"-705547"	"-447074"
"Payroll Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-1820008"	"-1643381"	"-3339938"	"-2236128"	"-2909989"	"-1461544"	"-2630917"	"-2736210"	"-2555554"	"-2554023"	"-1729230"	"-1183866"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-161575"	"-187636"	"-282811"	"-221047"	"-254049"	"-144005"	"-246538"	"-255904"	"-221757"	"-282216"	"-207965"	"-107626"
"R&D Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-741256"	"-734801"	"-1121189"	"-847064"	"-1076637"	"-581037"	"-1155733"	"-1140205"	"-928524"	"-1022458"	"-732828"	"-507909"
"Consulting Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-938436"	"-936828"	"-1631024"	"-1004574"	"-1256873"	"-602967"	"-1434455"	"-1308212"	"-1228204"	"-1541439"	"-1029014"	"-547052"
"Software/Hardware Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-1135946"	"-1337432"	"-2176367"	"-1388676"	"-1972095"	"-935781"	"-1810962"	"-1913852"	"-1681821"	"-1985257"	"-1268727"	"-853915"
"Marketing Expense"	"Advertising"	"USD"	"2013"	"Actuals"	"-323989"	"-329938"	"-540940"	"-428900"	"-480921"	"-296470"	"-569490"	"-545708"	"-522167"	"-517041"	"-375439"	"-255120"
"Sales"	"Hardware"	"USD"	"2013"	"Actuals"	"19509973"	"17256060"	"30532260"	"29272946"	"29336567"	"20351396"	"28675099"	"33553477"	"34517495"	"26255937"	"30608966"	"18118056"
"Cost of Goods Sold"	"Hardware"	"USD"	"2013"	"Actuals"	"-8150515"	"-8450170"	"-14161620"	"-11982699"	"-14251244"	"-9764566"	"-13601224"	"-16479944"	"-15769647"	"-11713786"	"-13808185"	"-7671352"
"Commissions Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-918940"	"-807370"	"-1441691"	"-1189856"	"-1441481"	"-992324"	"-1184148"	"-1395247"	"-1624531"	"-1309585"	"-1271473"	"-888159"
"Payroll Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-1978540"	"-2042733"	"-3640742"	"-3022060"	"-3103005"	"-2469981"	"-3153289"	"-3620396"	"-4017528"	"-2657392"	"-3428688"	"-2234769"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-226737"	"-177057"	"-348448"	"-348912"	"-340324"	"-233884"	"-339323"	"-346782"	"-416320"	"-265196"	"-350713"	"-191961"
"R&D Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-864114"	"-798924"	"-1397111"	"-1424616"	"-1408363"	"-988295"	"-1420613"	"-1550303"	"-1530986"	"-1291985"	"-1244998"	"-880628"
"Consulting Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-985386"	"-1024168"	"-1624588"	"-1566421"	"-1513745"	"-1168867"	"-1433907"	"-1760511"	"-1764055"	"-1576381"	"-1568287"	"-1109268"
"Software/Hardware Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-1643593"	"-1410736"	"-2420767"	"-2153538"	"-2533689"	"-1741008"	"-2146318"	"-2517357"	"-2704417"	"-2028595"	"-2603838"	"-1295382"
"Marketing Expense"	"Hardware"	"USD"	"2013"	"Actuals"	"-448703"	"-383620"	"-615643"	"-713736"	"-716076"	"-430361"	"-707885"	"-733111"	"-799880"	"-586058"	"-621736"	"-422427"
"Sales"	"Software"	"USD"	"2014"	"Actuals"	"73003216"	"67583964"	"96747422"	"54707115"	"53295086"	"73831265"	"60633129"	"67453237"	"98780894"	"52687090"	"71258255"	"83507400"
"Cost of Goods Sold"	"Software"	"USD"	"2014"	"Actuals"	"-35434154"	"-33276599"	"-46411721"	"-25228351"	"-24803966"	"-34794166"	"-25081587"	"-32657990"	"-47301412"	"-23190677"	"-33853415"	"-41071028"
"Commissions Expense"	"Software"	"USD"	"2014"	"Actuals"	"-3225544"	"-3006614"	"-4716518"	"-2637046"	"-2192406"	"-3440909"	"-2564854"	"-3195750"	"-4621559"	"-2594599"	"-3474868"	"-3954659"
"Payroll Expense"	"Software"	"USD"	"2014"	"Actuals"	"-8214482"	"-6991832"	"-9881604"	"-6021642"	"-5967905"	"-8792535"	"-6362428"	"-7854754"	"-10736101"	"-6185030"	"-8422442"	"-8853593"
"Travel & Entertainment Expense"	"Software"	"USD"	"2014"	"Actuals"	"-812381"	"-823867"	"-1084164"	"-547555"	"-657107"	"-785991"	"-693944"	"-790029"	"-1063936"	"-528306"	"-837702"	"-949150"
"R&D Expense"	"Software"	"USD"	"2014"	"Actuals"	"-3200785"	"-3236733"	"-4576715"	"-2677342"	"-2564086"	"-3201135"	"-2673923"	"-2759863"	"-4136323"	"-2161622"	"-2908571"	"-3459881"
"Consulting Expense"	"Software"	"USD"	"2014"	"Actuals"	"-4510094"	"-4148358"	"-5977214"	"-2757866"	"-2721806"	"-3827683"	"-3316938"	"-3803865"	"-5738434"	"-3196559"	"-3787807"	"-4251787"
"Software/Hardware Expense"	"Software"	"USD"	"2014"	"Actuals"	"-5157077"	"-4893590"	"-7177731"	"-4525995"	"-3788018"	"-5727447"	"-5302649"	"-5621094"	"-7901949"	"-4053787"	"-5484871"	"-5860902"
"Marketing Expense"	"Software"	"USD"	"2014"	"Actuals"	"-1561407"	"-1626403"	"-2267623"	"-1199024"	"-1272883"	"-1678802"	"-1497786"	"-1414558"	"-2426938"	"-1075041"	"-1500397"	"-1915308"
"Sales"	"Advertising"	"USD"	"2014"	"Actuals"	"18250804"	"14868472"	"28056752"	"14223850"	"13323772"	"14766253"	"16977276"	"16188777"	"29634268"	"11064289"	"19952311"	"20041776"
"Cost of Goods Sold"	"Advertising"	"USD"	"2014"	"Actuals"	"-7843283"	"-6796938"	"-12240526"	"-6869228"	"-5372673"	"-6236231"	"-7200608"	"-6556026"	"-13129869"	"-4676077"	"-9364018"	"-9803799"
"Commissions Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-883645"	"-676768"	"-1122338"	"-683326"	"-609325"	"-684846"	"-753131"	"-685580"	"-1414587"	"-442590"	"-979960"	"-943903"
"Payroll Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-2008709"	"-1487720"	"-3285627"	"-1508088"	"-1391093"	"-1775032"	"-2004898"	"-1838656"	"-3448390"	"-1361565"	"-2442401"	"-2495975"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-219648"	"-183425"	"-341821"	"-173916"	"-154994"	"-154234"	"-197334"	"-175394"	"-313187"	"-112737"	"-237479"	"-203441"
"R&D Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-878705"	"-691557"	"-1382445"	"-644432"	"-585524"	"-704915"	"-777313"	"-745066"	"-1466348"	"-520870"	"-799241"	"-926859"
"Consulting Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-1101772"	"-896778"	"-1443616"	"-741177"	"-698199"	"-899590"	"-965921"	"-952907"	"-1522010"	"-581521"	"-1167492"	"-1042503"
"Software/Hardware Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-1592251"	"-1260716"	"-2347593"	"-1012501"	"-1124904"	"-1261974"	"-1354606"	"-1335325"	"-2087610"	"-780627"	"-1615540"	"-1677444"
"Marketing Expense"	"Advertising"	"USD"	"2014"	"Actuals"	"-451604"	"-299487"	"-598692"	"-290908"	"-275494"	"-315325"	"-362086"	"-403555"	"-723809"	"-246577"	"-423325"	"-404866"
"Sales"	"Hardware"	"USD"	"2014"	"Actuals"	"25551126"	"27033586"	"35796546"	"18053348"	"17054428"	"27317568"	"18796270"	"20235971"	"32597695"	"20547965"	"28503302"	"33402960"
"Cost of Goods Sold"	"Hardware"	"USD"	"2014"	"Actuals"	"-12281785"	"-11806223"	"-16195590"	"-8716303"	"-7594755"	"-12346026"	"-8571654"	"-8792279"	"-13697258"	"-9660014"	"-12192298"	"-13616846"
"Commissions Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-1071411"	"-1096480"	"-1629789"	"-758301"	"-754325"	"-1304916"	"-823868"	"-817673"	"-1590942"	"-938741"	"-1163913"	"-1561563"
"Payroll Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-2862315"	"-2916140"	"-3680507"	"-2237785"	"-2017248"	"-2969483"	"-1933361"	"-2483806"	"-3462148"	"-2092959"	"-3143791"	"-3950404"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-295032"	"-281721"	"-360010"	"-215094"	"-177449"	"-277921"	"-210549"	"-251945"	"-394839"	"-241749"	"-339129"	"-403062"
"R&D Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-1184703"	"-1206612"	"-1706514"	"-787069"	"-719494"	"-1217784"	"-802138"	"-1010960"	"-1342224"	"-929984"	"-1347763"	"-1538947"
"Consulting Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-1396550"	"-1412122"	"-1960177"	"-1021805"	"-1016393"	"-1460281"	"-1158758"	"-1212490"	"-1926307"	"-1095283"	"-1655140"	"-2087346"
"Software/Hardware Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-2055703"	"-1910219"	"-2832136"	"-1380565"	"-1364825"	"-2260644"	"-1615169"	"-1655450"	"-2372522"	"-1789944"	"-2194746"	"-2825224"
"Marketing Expense"	"Hardware"	"USD"	"2014"	"Actuals"	"-551509"	"-553460"	"-858779"	"-444914"	"-346671"	"-561327"	"-421945"	"-459673"	"-699116"	"-436835"	"-646474"	"-790325"
"Sales"	"Software"	"USD"	"2015"	"Actuals"	"56564696"	"53003500"	"57123654"	"51517884"	"86240365"	"83822589"	"99534990"	"56551959"	"75595351"	"87960046"	"75992432"	"87753553"
"Cost of Goods Sold"	"Software"	"USD"	"2015"	"Actuals"	"-26025524"	"-24023570"	"-23452691"	"-24109262"	"-38340811"	"-34138458"	"-48369463"	"-26510883"	"-31307040"	"-36132005"	"-37770955"	"-35668763"
"Commissions Expense"	"Software"	"USD"	"2015"	"Actuals"	"-2693681"	"-2344026"	"-2342553"	"-2075015"	"-3959339"	"-3442089"	"-4021826"	"-2656419"	"-3439053"	"-3864192"	"-3553160"	"-4368917"
"Payroll Expense"	"Software"	"USD"	"2015"	"Actuals"	"-6107421"	"-5810585"	"-7021257"	"-6051373"	"-10773242"	"-9081939"	"-10994327"	"-6548834"	"-7861085"	"-9613130"	"-9183322"	"-9278911"
"Travel & Entertainment Expense"	"Software"	"USD"	"2015"	"Actuals"	"-587893"	"-545279"	"-588026"	"-545095"	"-985449"	"-855026"	"-1098610"	"-701066"	"-809897"	"-1016017"	"-880356"	"-987089"
"R&D Expense"	"Software"	"USD"	"2015"	"Actuals"	"-2724738"	"-2462961"	"-2377917"	"-2391429"	"-4192334"	"-3632483"	"-3981861"	"-2692169"	"-3621911"	"-3866225"	"-3114375"	"-3960801"
"Consulting Expense"	"Software"	"USD"	"2015"	"Actuals"	"-3196353"	"-3030650"	"-3299636"	"-2687879"	"-5147180"	"-4667697"	"-5350859"	"-3211296"	"-4194381"	"-5144107"	"-3882597"	"-4467813"
"Software/Hardware Expense"	"Software"	"USD"	"2015"	"Actuals"	"-4765178"	"-3830881"	"-4742612"	"-4411760"	"-7247016"	"-7070792"	"-7460187"	"-4155646"	"-6058210"	"-6830492"	"-5760591"	"-7218683"
"Marketing Expense"	"Software"	"USD"	"2015"	"Actuals"	"-1373322"	"-1152623"	"-1366324"	"-1216887"	"-1771647"	"-1846409"	"-2254182"	"-1313623"	"-1753534"	"-1859575"	"-1782794"	"-2038375"
"Sales"	"Advertising"	"USD"	"2015"	"Actuals"	"13575527"	"13250875"	"12567204"	"11849113"	"17248073"	"22632099"	"29860497"	"11875911"	"21166698"	"21110411"	"18998108"	"20183317"
"Cost of Goods Sold"	"Advertising"	"USD"	"2015"	"Actuals"	"-6729976"	"-6401417"	"-5214635"	"-5538678"	"-8186261"	"-10063433"	"-14362489"	"-5530666"	"-10502083"	"-10387292"	"-7767663"	"-9444026"
"Commissions Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-573757"	"-581423"	"-551830"	"-577052"	"-788385"	"-946266"	"-1320510"	"-513412"	"-965560"	"-992444"	"-880529"	"-838505"
"Payroll Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-1568759"	"-1452547"	"-1515316"	"-1374790"	"-1918417"	"-2647780"	"-3326590"	"-1280946"	"-2625789"	"-2383045"	"-2237769"	"-2381177"
"Travel & Entertainment Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-158356"	"-153332"	"-156029"	"-135853"	"-212057"	"-251822"	"-317201"	"-144379"	"-235638"	"-237761"	"-194390"	"-241255"
"R&D Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-628560"	"-607225"	"-605967"	"-523211"	"-761411"	"-942950"	"-1259315"	"-593077"	"-932114"	"-888540"	"-848637"	"-811089"
"Consulting Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-840546"	"-680213"	"-638286"	"-639841"	"-1072470"	"-1382250"	"-1632544"	"-636013"	"-1152236"	"-1315230"	"-1048976"	"-1063853"
"Software/Hardware Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-1050093"	"-1048268"	"-966784"	"-928678"	"-1460786"	"-1852892"	"-2327627"	"-836034"	"-1595638"	"-1616163"	"-1534232"	"-1707959"
"Marketing Expense"	"Advertising"	"USD"	"2015"	"Actuals"	"-275227"	"-327777"	"-292639"	"-286019"	"-377546"	"-453403"	"-714292"	"-263464"	"-517575"	"-425453"	"-389907"	"-456591"
"Sales"	"Hardware"	"USD"	"2015"	"Actuals"	"16969409"	"20671365"	"21706989"	"16485723"	"33633742"	"25985003"	"30855847"	"22620784"	"30238140"	"33424817"	"28877124"	"31591279"
"Cost of Goods Sold"	"Hardware"	"USD"	"2015"	"Actuals"	"-7450571"	"-10294064"	"-9221253"	"-7725376"	"-13917348"	"-12519321"	"-13571742"	"-9837654"	"-12678165"	"-16340698"	"-12993746"	"-13172331"
"Commissions Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-715290"	"-904129"	"-931252"	"-711157"	"-1659270"	"-1221659"	"-1350283"	"-929404"	"-1347979"	"-1470024"	"-1389785"	"-1287585"
"Payroll Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-1988528"	"-2459353"	"-2709458"	"-2003559"	"-3552022"	"-2709456"	"-3252981"	"-2779126"	"-3172400"	"-3896025"	"-3318030"	"-3813684"
"Travel & Entertainment Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-205282"	"-225837"	"-227747"	"-169757"	"-347847"	"-269530"	"-324152"	"-253011"	"-324488"	"-370035"	"-330614"	"-360629"
"R&D Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-723600"	"-1004867"	"-965808"	"-689206"	"-1499915"	"-1141605"	"-1507171"	"-1075555"	"-1237536"	"-1515831"	"-1394273"	"-1442698"
"Consulting Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-1017910"	"-1145770"	"-1136471"	"-873995"	"-1914496"	"-1546855"	"-1592349"	"-1318910"	"-1733965"	"-2010672"	"-1596932"	"-1693505"
"Software/Hardware Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-1206195"	"-1591750"	"-1622068"	"-1226905"	"-2863033"	"-2160356"	"-2268443"	"-1907784"	"-2503681"	"-2409168"	"-2141293"	"-2275942"
"Marketing Expense"	"Hardware"	"USD"	"2015"	"Actuals"	"-361779"	"-465522"	"-435154"	"-387703"	"-771709"	"-598031"	"-742056"	"-491851"	"-630665"	"-803064"	"-602653"	"-683941"
"Sales"	"Software"	"USD"	"2016"	"Actuals"	"81655883"	"83561516"	"61969697"	"63610791"	"86214061"	"90524362"	"96670862"	"98454552"	"87844733"	"87853084"	"51372015"	"84700526"
"Cost of Goods Sold"	"Software"	"USD"	"2016"	"Actuals"	"-38152005"	"-36699482"	"-26110465"	"-26145811"	"-40139858"	"-39539223"	"-44836102"	"-40988911"	"-41450728"	"-39579231"	"-22047375"	"-40435685"
"Commissions Expense"	"Software"	"USD"	"2016"	"Actuals"	"-3341830"	"-3367712"	"-3012406"	"-2916215"	"-3678680"	"-4445902"	"-4606371"	"-4440472"	"-3909828"	"-3623312"	"-2189989"	"-3526159"
"Payroll Expense"	"Software"	"USD"	"2016"	"Actuals"	"-8921600"	"-9786168"	"-7486614"	"-7556025"	"-9181290"	"-9459380"	"-9844151"	"-11206389"	"-9392546"	"-10596859"	"-6122880"	"-9147690"
"Travel & Entertainment Expense"	"Software"	"USD"	"2016"	"Actuals"	"-818929"	"-966024"	"-654648"	"-664349"	"-946095"	"-942468"	"-1062404"	"-1074006"	"-1051917"	"-1038774"	"-587646"	"-958050"
"R&D Expense"	"Software"	"USD"	"2016"	"Actuals"	"-3683094"	"-4113810"	"-2921017"	"-2963375"	"-4130479"	"-3623041"	"-4437334"	"-4585982"	"-3983309"	"-3581303"	"-2334662"	"-3982432"
"Consulting Expense"	"Software"	"USD"	"2016"	"Actuals"	"-4657393"	"-4809923"	"-3513189"	"-3762203"	"-4709694"	"-4861754"	"-6015899"	"-6024947"	"-4995099"	"-4476716"	"-3081661"	"-4598465"
"Software/Hardware Expense"	"Software"	"USD"	"2016"	"Actuals"	"-6635711"	"-6811558"	"-5169120"	"-4461078"	"-6428260"	"-7226569"	"-7271478"	"-7234272"	"-7651080"	"-7315956"	"-4150345"	"-7372199"
"Marketing Expense"	"Software"	"USD"	"2016"	"Actuals"	"-1704389"	"-1870382"	"-1528250"	"-1331140"	"-1910352"	"-1853220"	"-2355911"	"-2020196"	"-1806635"	"-2153880"	"-1244194"	"-2026172"
"Sales"	"Advertising"	"USD"	"2016"	"Actuals"	"20413971"	"18383534"	"15492424"	"16538806"	"17242812"	"26252065"	"26101133"	"26582729"	"23718078"	"24598864"	"12843004"	"18634116"
"Cost of Goods Sold"	"Advertising"	"USD"	"2016"	"Actuals"	"-8524021"	"-8516858"	"-6701327"	"-8243024"	"-8514600"	"-12755210"	"-12071942"	"-12906190"	"-10492468"	"-11272305"	"-6080186"	"-8918973"
"Commissions Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-941449"	"-887985"	"-710304"	"-703199"	"-802703"	"-1110078"	"-1236047"	"-1269614"	"-999276"	"-1060656"	"-634536"	"-754854"
"Payroll Expense"	"Advertising"	"USD"	"2016"	"Actuals"	"-2536097"	"-2115231"	"-1737031"	"-1784309"	"-1880938"	"-3062612"	"-2803819"	"-2677425"	"-2631419"	"-2469520"	"-1439108"	"-2142808"
